"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","Aboveground_pool","Litter_pool","Dead_pool","Soil_pool_new","pH","Nperc","P","K","Na","CaMg","Al","bee_rich"
"253","PGM",274,3,"274_3","LF",36,48,18,23,68,70,217.3863368,9.451297881,23.39147307,52.32,4.566666667,0.15,2.555555556,56.22222222,43.77777778,2.311111111,0.922222222,6
"254","PGM",274,4,"274_4","LBF",34,49,14,14,52,56,76.43179192,12.63387961,16.42342898,52.54,5.077777778,0.15,1.888888889,58.77777778,38.55555556,3.333333333,0.4,2
"255","PGM",274,6,"274_6","LBF",35,43,18,18,69,61,84.55914035,8.922247503,13.57173837,61.31,5.077777778,0.17,1.555555556,45.33333333,32.77777778,2.155555556,0.655555556,6
"256","PGM",274,7,"274_7","LBF",27,63,10,14,75,66,127.26487,7.300182377,36.06079013,53.66,4.577777778,0.13,2.666666667,41.33333333,27.77777778,1.6,1.122222222,2
"257","PGM",274,8,"274_8","LBF",34,41,11,12,53,52,62.24307362,6.673018895,19.22696108,53.36,5.411111111,0.14,1.333333333,41,26.77777778,4.466666667,0.355555556,4
"258","PGM",274,9,"274_9","MA",14,11,5,0,0,0,0,0.78212,0,54.39,5.155555556,0.13,5.555555556,73.44444444,44.88888889,3.411111111,0.288888889,2
"259","PGM",315,1,"315_1","LBF",26,56,27,12,60,43,71.73035919,10.41718997,29.61950272,36.42,4.077777778,0.08,3.555555556,27.66666667,17.44444444,0.644444444,1.244444444,8
"260","PGM",315,11,"315_11","LBF",29,61,17,6,28,8,15.54980941,6.969179412,27.23572236,52.39,5.633333333,0.14,4.666666667,67.77777778,45.77777778,4.477777778,0.2,6
"261","PGM",315,2,"315_2","SFyoung",28,43,23,1,19,21,28.12953757,8.496971494,4.130668689,58.6,4.5,0.15,1.777777778,41.88888889,26.22222222,1.8,0.922222222,11
"262","PGM",315,3,"315_3","LBF",23,62,30,14,83,65,123.7827807,8.185549153,25.52310369,37.92,4.3375,0.09,3.125,33.0625,53.625,0.84375,1.30625,11
"263","PGM",315,4,"315_4","LBF",28,42,30,8,51,36,119.1228497,13.70798818,46.70967541,36.65,3.888888889,0.08,5.777777778,45.11111111,28.22222222,1.288888889,1.122222222,9
"264","PGM",315,5,"315_5","LBF",22,40,20,1,12,4,6.117914224,5.107460781,9.74796457,54.95,5.433333333,0.14,3,123.4,89,3.76,0.353333333,7
"265","PGM",315,6,"315_6","MA",7,18,8,0,0,0,0,0,0,51.37,4.622222222,0.13,2.222222222,118.6666667,68.55555556,3.133333333,0.511111111,3
